6.002400960384153272E-01 1.507712793455404099E-02 2.993831559574842483E-05 
6.006006006006006093E-01 1.507372906068028470E-02 2.992008949782655038E-05 
6.009615384615384359E-01 1.506989583208735717E-02 2.990188359736630920E-05 
6.013229104028863237E-01 1.507752182426283852E-02 2.988369787980308835E-05 
6.016847172081829509E-01 1.507201118414690059E-02 2.986553233058480419E-05 
6.020469596628537090E-01 1.506717003510863254E-02 2.984738693520776578E-05 
6.024096385542169196E-01 1.507094649527591229E-02 2.982926167916939009E-05 
6.027727546714889417E-01 1.507178064058144543E-02 2.981115654800838865E-05 
6.031363088057901667E-01 1.507337477289111619E-02 2.979307152726639354E-05 
6.035003017501509026E-01 1.506895098087300891E-02 2.977500660252799160E-05 
6.038647342995169254E-01 1.506637003990701600E-02 2.975696175940408189E-05 
6.042296072507553628E-01 1.506738260429038578E-02 2.973893698351115389E-05 
6.045949214026602458E-01 1.507075528895466393E-02 2.972093226050249217E-05 
6.049606775559588367E-01 1.506596193107270776E-02 2.970294757604303651E-05 
6.053268765133172913E-01 1.505964770783145036E-02 2.968498291584907380E-05 
6.056935190793458768E-01 1.507077374941546109E-02 2.966703826562881702E-05 
6.060606060606060774E-01 1.506032873915871990E-02 2.964911361113488063E-05 
6.064281382656154795E-01 1.506550391628908199E-02 2.963120893812658756E-05 
6.067961165048543215E-01 1.506015630364332045E-02 2.961332423241779275E-05 
6.071645415907710452E-01 1.506277922127956595E-02 2.959545947980949656E-05 
6.075334143377886242E-01 1.505732012426455081E-02 2.957761466614621651E-05 
6.079027355623100037E-01 1.506016532313171098E-02 2.955978977729970732E-05 
6.082725060827249841E-01 1.506339505134824362E-02 2.954198479915714985E-05 
6.086427267194157720E-01 1.505471003309568484E-02 2.952419971762634517E-05 
6.090133982947625313E-01 1.505486852223261902E-02 2.950643451865764925E-05 
6.093845216331504888E-01 1.505475340013097754E-02 2.948868918820265813E-05 
6.097560975609755962E-01 1.506162410685018063E-02 2.947096371225730495E-05 
6.101281269066503032E-01 1.505365553470209075E-02 2.945325807681222041E-05 
6.105006105006104411E-01 1.505339405527198957E-02 2.943557226791668717E-05 
